locus_tag,cluster_id,uMax,MeOH,NoCu,lowCu,medCu,highCu,LanzaTech,lowCH4,lowO2_fast_growth,aa3_KO,NO3_lowO2_slow_growth,highO2_slow_growth,lowO2_slow_growth,lowO2_fast_growth,lowO2_low_iron_fast_growth,WithLanthanum,NoLanthanum,crotonic_acid,slow_growth,unknown
EQU24_RS00015,3,0.1587817310791047,0.3278161794460307,-0.21276392379137907,-0.10645261395239523,0.03463807587496828,0.22023824244609028,-1.072636761238421,-0.38561459031883416,0.14284462196983816,-0.9172240254078649,-0.4615334857542921,0.13874680621867813,-0.2357937378948251,0.14284462196983816,-0.05725030464220183,-0.6337922488510317,-0.5830166258544002,-0.048206237472606536,-0.6094063655241387,-0.7538952743576312
EQU24_RS00070,3,-0.1092066260839135,-1.2826734936927753,-0.3622109213951769,0.040192083664090994,-0.3556242765373704,0.4089077255362079,-0.6836144306475457,-1.1393581870700744,0.8738000634701287,-0.14689930542520802,-0.1986703768892292,-0.20248639720719705,0.3294299884814378,0.8738000634701287,0.3550517186305101,-0.9381441415580746,-0.6266382511560715,-0.6504815364628623,0.4098608585745042,-1.0750338804659836
EQU24_RS00100,3,0.2104973968287872,0.2297793118170807,-0.10328220244255808,-0.2719090537130589,-0.2539829339488789,0.053651769785367454,-1.0322883571376646,0.3553126354720759,-0.3081972134799729,-0.7301666301061764,-0.6322967425145185,-0.29413060828736504,-0.3494405105618684,-0.3081972134799729,0.20800792240390525,-1.0967858254996106,-1.0135966449008431,-0.4770092076815669,-0.6069737656653711,-1.1088490641057271
EQU24_RS00105,3,0.221106932979451,-0.9138279830967712,0.10992466024696493,-0.06994145428108449,0.0563214173229471,0.5494800837272037,-2.0808810949734307,0.14898644227486035,-0.4521088217082975,-0.42470950520580897,-0.7962137747749973,-0.6979342462905845,-0.4115344648409406,-0.4521088217082975,-0.06509689293236165,-1.237130471115826,-1.0514704042452292,-0.9577039253394072,-0.2680337686253741,-0.9781658558287368
EQU24_RS00230,3,0.2151825072176951,0.3682182558423677,-0.1479547625210953,-0.3188966231332626,-0.4366419360622635,-0.3515513643068563,-0.330918041480245,-0.3614772988272278,-0.3076731333963956,-0.7894028532584072,-0.7392605548114799,-0.5005623488454962,-0.6225248112250383,-0.3076731333963956,-0.060537414443628874,-1.007197024586078,-1.0209732197936945,-0.34434970974838564,-0.4170250342805472,-0.543389218323644
EQU24_RS00235,3,0.21098082910592286,0.7808125880046672,-0.821556184938334,-0.7518143010333952,-0.7028797267505973,-0.9130715093865608,-0.6892880916105106,-0.28675310087865863,-0.14319362733354413,-1.3854894663232595,-0.7640496392185931,-0.7531403010147865,-0.8511722162886113,-0.14319362733354413,0.2105434459136924,-0.6669399475216138,-0.6170704210234659,-0.235276873068123,-1.0659156217363754,0.15614597558685686
EQU24_RS00240,3,0.14092493129243916,0.39892052177988796,-0.8817381899679811,-0.9767523970287628,-1.2376884283574416,-0.5128593465079752,-1.4334933569226698,-0.40857363807848096,0.3662872787357605,-1.6147006273671674,-0.8892782571217351,-0.33579485940154263,-1.1674994940755898,0.3662872787357605,0.10770623177519748,-1.3758086694758571,-1.3783101875315174,-0.3678268329113879,-1.6337530596638736,-0.4155681386015854
EQU24_RS00245,3,0.06955368149863157,-0.011246225103553923,-0.5985376117427315,-0.6560171034160613,-0.5117470447801379,-0.5541207548898142,-1.3811541968693355,-0.4433353625816272,0.25393461484322594,-1.3427458948994253,-0.5555862171007929,-0.6748495529396301,-0.5671784132424055,0.25393461484322594,0.07802724848117297,-0.7494443357953106,-0.7484418854676279,-0.48722658487022297,-1.2468906069484798,-0.8858704795447221
EQU24_RS00340,3,0.19618226538994574,-0.4640399831846339,-0.07283263225696045,-0.10801453225014558,-0.20277472302032806,0.15918339170875334,0.0007064432093653576,-0.635380875849756,-0.2570660242139242,-0.5642693508886584,-0.7385556122318283,-0.5010190297960856,-0.7223603974346642,-0.2570660242139242,-0.7007039669578476,-0.7916839066862899,-0.8036779834724241,-0.17188990957682612,-0.4113302885282853,-0.7179214368513015
EQU24_RS00360,3,0.1931032265876979,-0.4022606431823852,-0.10671381489059208,-0.09019045909169224,0.10498644317265468,0.08144809429385234,-0.7956126122935498,-0.2834836223751455,-0.254463266548191,-0.6424420356489331,-0.5553635043357822,-0.4106779957154419,-0.6749829613552201,-0.254463266548191,0.11835505519697817,-0.6936974663812019,-0.6356211169861454,-0.20481721877633333,-0.5543914637114522,-1.5030781214992688
