locus_tag,cluster_id,LanzaTech,MeOH,NO3_lowO2_slow_growth,NoCu,NoLanthanum,WT_control,WithLanthanum,aa3_KO,crotonic_acid,highCu,highO2_slow_growth,lowCH4,lowCu,lowO2_fast_growth,lowO2_low_iron_fast_growth,lowO2_slow_growth,medCu,slow_growth,uMax,unknown
EQU24_RS00205,11,-4.180726454800373,-3.937014989235073,-3.1316111273018343,-4.424486316462093,0.21442244928103749,-1.7809941931302915,0.11451566373593845,-2.1533764641085678,-2.6055851268845878,-6.3524352187705375,-3.4172299076903303,-4.19073428040633,-4.425757963680144,-5.503016741987216,-5.480487333660419,-2.350599936142721,-4.272961897929783,-3.9896551857133176,-5.830223928193145,-3.609905108040641
EQU24_RS00625,11,-4.073107617908476,-4.04549707291707,-4.333912579918584,-4.4768208942586645,-3.7498491204784714,-4.02943429741529,-2.8317575211344828,-3.4330618430285176,-4.942519835819935,-6.203185074185388,-4.9278961966035135,-5.455188534148995,-4.576664759431538,-6.805237305571993,-5.343722502220613,-2.2710776863528057,-5.093724169614325,-3.8908719199245287,-8.100580328416449,-3.512802075046041
EQU24_RS00630,11,-4.073107617908476,-4.04549707291707,-4.333912579918584,-4.4768208942586645,-3.8913206530083566,-4.02943429741529,-3.5106010787807738,-3.4330618430285176,-4.942519835819935,-6.203185074185388,-4.9278961966035135,-5.455188534148995,-4.576664759431538,-6.805237305571993,-5.343722502220613,-2.2710776863528057,-5.093724169614325,-3.8908719199245287,-8.100580328416449,-3.512802075046041
EQU24_RS00635,11,-4.073107617908476,-4.04549707291707,-4.333912579918584,-4.4768208942586645,-3.8913206530083566,-4.02943429741529,-3.5106010787807738,-3.4330618430285176,-4.942519835819935,-6.203185074185388,-4.9278961966035135,-5.455188534148995,-4.576664759431538,-6.805237305571993,-5.343722502220613,-2.2710776863528057,-5.093724169614325,-3.8908719199245287,-8.100580328416449,-3.512802075046041
EQU24_RS00640,11,-4.073107617908476,-4.04549707291707,-4.333912579918584,-4.4768208942586645,-3.0706565199641385,-4.02943429741529,-2.800556269407973,-3.4330618430285176,-4.942519835819935,-6.203185074185388,-4.9278961966035135,-5.455188534148995,-4.576664759431538,-6.805237305571993,-5.343722502220613,-2.2710776863528057,-5.093724169614325,-3.8908719199245287,-8.100580328416449,-3.512802075046041
EQU24_RS00645,11,-4.073107617908476,-4.04549707291707,-4.333912579918584,-4.4768208942586645,-3.8913206530083566,-4.02943429741529,-2.9719907009677784,-3.4330618430285176,-4.942519835819935,-6.203185074185388,-4.9278961966035135,-5.455188534148995,-4.576664759431538,-6.805237305571993,-5.343722502220613,-2.2710776863528057,-5.093724169614325,-3.8908719199245287,-8.100580328416449,-3.512802075046041
EQU24_RS01215,11,-4.118323812005219,-3.5109444266055485,-2.74203507850371,-3.6024586193465735,0.7956214665209331,-2.4685522473343657,0.497648569925106,-2.3350838291601934,-3.275636578084134,-5.631896159926177,-3.9745053260148753,-4.556669885567255,-4.034903508217432,-5.821989069113681,-4.538493094473695,-2.3044890628864723,-4.6437036515627845,-3.278938454972145,-6.898238237638731,-3.168040675033357
EQU24_RS01305,11,-3.266100055438838,-3.11274422350583,-2.7217605993218874,-4.161669909644532,1.186685597998015,-2.029163360725568,0.9470174002083735,-2.1092001531201308,-2.0127887339886774,-5.733419001375768,-2.961417235807766,-4.199165814720638,-4.100773068616953,-5.241956019664762,-5.494214513211462,-2.358581638673094,-4.590326756955349,-3.346132747201636,-5.684152175667127,-2.7018144991220154
EQU24_RS01445,11,-4.073107617908476,-4.04549707291707,-4.333912579918584,-4.4768208942586645,-3.8913206530083566,-4.02943429741529,-3.068908073998413,-3.4330618430285176,-4.942519835819935,-6.203185074185388,-4.9278961966035135,-5.455188534148995,-4.576664759431538,-6.805237305571993,-5.343722502220613,-2.2710776863528057,-5.093724169614325,-3.8908719199245287,-8.100580328416449,-3.512802075046041
EQU24_RS01450,11,-4.073107617908476,-4.04549707291707,-4.333912579918584,-4.4768208942586645,2.2348229687335497,-4.02943429741529,1.804765161274898,-3.4330618430285176,-4.942519835819935,-6.203185074185388,-4.9278961966035135,-5.455188534148995,-4.576664759431538,-6.805237305571993,-5.343722502220613,-2.2710776863528057,-5.093724169614325,-3.8908719199245287,-8.100580328416449,-3.512802075046041
EQU24_RS02735,11,-4.073107617908476,-4.04549707291707,-4.333912579918584,-4.4768208942586645,-3.8913206530083566,-4.02943429741529,-3.5106010787807738,-3.4330618430285176,-4.942519835819935,-6.203185074185388,-4.9278961966035135,-5.455188534148995,-4.576664759431538,-6.805237305571993,-5.343722502220613,-2.2710776863528057,-5.093724169614325,-3.8908719199245287,-8.100580328416449,-3.512802075046041
EQU24_RS02740,11,-4.073107617908476,-4.04549707291707,-4.333912579918584,-4.4768208942586645,-3.8913206530083566,-4.02943429741529,-3.5106010787807738,-3.4330618430285176,-4.942519835819935,-6.203185074185388,-4.9278961966035135,-5.455188534148995,-4.576664759431538,-6.805237305571993,-5.343722502220613,-2.2710776863528057,-5.093724169614325,-3.8908719199245287,-8.100580328416449,-3.512802075046041
EQU24_RS02745,11,-4.073107617908476,-4.04549707291707,-4.333912579918584,-4.4768208942586645,-3.8913206530083566,-4.02943429741529,-3.5106010787807738,-3.4330618430285176,-4.942519835819935,-6.203185074185388,-4.9278961966035135,-5.455188534148995,-4.576664759431538,-6.805237305571993,-5.343722502220613,-2.2710776863528057,-5.093724169614325,-3.8908719199245287,-8.100580328416449,-3.512802075046041
EQU24_RS02750,11,-4.073107617908476,-4.04549707291707,-4.333912579918584,-4.4768208942586645,-3.8913206530083566,-4.02943429741529,-3.5106010787807738,-3.4330618430285176,-4.942519835819935,-6.203185074185388,-4.9278961966035135,-5.455188534148995,-4.576664759431538,-6.805237305571993,-5.343722502220613,-2.2710776863528057,-5.093724169614325,-3.8908719199245287,-8.100580328416449,-3.512802075046041
