,method,num_clusters,sse,silhouette,calinski-harabasz,davies-bouldin,eps,min_sample,linkage,threshold,branching_factor
21,kmeans,23,18470.353711773234,0.11479978551056609,678.3824825073555,1.3827286122681377,,,,,
22,kmeans,24,18145.152919680942,0.1059683472823964,663.623857623147,1.4606940251996356,,,,,
23,kmeans,25,17821.993352200483,0.10386803971133911,650.5133475270927,1.4707002709159378,,,,,
24,kmeans,26,17582.849773767422,0.10132190034374297,635.1138942118938,1.4592776841879196,,,,,
25,kmeans,27,17365.123410576693,0.09339074309966117,620.2142381422469,1.4795468382564485,,,,,
26,kmeans,28,17130.42711685568,0.10092998379735599,607.4045201644938,1.4515201632428307,,,,,
27,kmeans,29,16943.416965022934,0.09310667025728565,593.6836438734084,1.519013465769134,,,,,
28,kmeans,30,16720.471805260117,0.09350728787508679,582.6397883898362,1.522740285697954,,,,,
29,kmeans,31,16552.05307368411,0.09485677532553712,570.2318009625571,1.5076740581457113,,,,,
30,kmeans,32,16194.776293262692,0.106664299301783,566.8523957468035,1.457465762908132,,,,,
31,kmeans,33,16048.494597975196,0.10469444686616296,555.200549569268,1.4747746698046982,,,,,
32,kmeans,34,15967.108472590717,0.10181322511107294,541.636167881592,1.450369084727945,,,,,
0,dbscan,88,,-0.43885736285935334,18.52401094722217,1.8128716618083336,1.0,2,,,
1,dbscan,77,,-0.3378163580409729,25.108981134403518,1.5441675079862016,1.25,2,,,
2,dbscan,79,,-0.23429131396081881,37.04582338412439,1.4054264017306646,1.5,2,,,
3,dbscan,63,,-0.0963421282879093,54.29925335952367,1.3401450287666807,1.75,2,,,
4,dbscan,64,,0.01095032661449362,63.5336564843995,1.330789857883808,2.0,2,,,
5,dbscan,43,,0.022861654392131933,82.73249108323215,1.4552672274236207,2.25,2,,,
6,dbscan,30,,0.07256467597671001,115.11646584950047,1.434508422904728,2.5,2,,,
7,dbscan,21,,0.2627923864809348,164.1099844020308,1.510730214448466,2.75,2,,,
8,dbscan,20,,0.28911738896972505,175.7008554978135,1.437720577622682,3.0,2,,,
9,dbscan,15,,0.2859818705913455,197.4558946125673,1.579372072719351,3.25,2,,,
10,dbscan,14,,0.35209053794240863,215.06652918944258,1.5422000765322645,3.5,2,,,
11,dbscan,12,,0.42648230644738006,252.41877296392417,1.4285422005152564,3.75,2,,,
12,dbscan,23,,-0.3704897772655442,65.12308364331635,2.074151610233519,1.0,3,,,
