,method,num_clusters,sse,silhouette,calinski-harabasz,davies-bouldin,eps,min_sample,linkage,threshold,branching_factor
0,kmeans,19,19750.00878426678,0.11862241965572609,761.0542414158136,1.399283820247906,,,,,
0,kmeans,20,19343.50177855126,0.11068559681483661,740.6134307413109,1.4191792240049148,,,,,
0,kmeans,32,16194.776293262694,0.106664299301783,566.8523957468035,1.457465762908132,,,,,
0,kmeans,36,15671.712192684356,0.09992831712820945,522.3125269418758,1.4686623741465872,,,,,
0,kmeans,40,14943.653533616174,0.10279609030406871,496.3210004312976,1.4722545550585031,,,,,
0,agglomerative,12,,0.08317743407858166,872.031230291291,1.531268989727309,,,ward,,
0,agglomerative,17,,0.05304810172155369,711.187373319828,1.614753051033442,,,ward,,
0,agglomerative,19,,0.17379818727901958,542.9646940586571,1.0727089655800999,,,complete,,
0,agglomerative,12,,0.4434337402768163,217.69823777088007,0.33036245381851,,,single,,
0,agglomerative,19,,0.3948247277939931,138.10352267705173,0.3298288342294365,,,single,,
0,agglomerative,21,,0.4405453846100276,241.9067637345475,0.7364391512989921,,,average,,
0,kmedoids,23,9980.326511107583,-0.08688527544604722,135.13432074047788,2.7133878799200475,,,,,
0,kmedoids,33,8516.664036103395,-0.02663417913820693,300.575856048794,2.540034283078969,,,,,
0,kmedoids,36,8278.935967298774,-0.022889314604442393,310.93141792019134,2.5175543795000777,,,,,
0,kmedoids,49,8385.520165096774,-0.03833779608983364,203.56530478472183,2.5660584537445525,,,,,
0,birch,18,,0.10046321155979616,686.7038757998672,1.5013015744613414,,,,0.53,48
0,birch,19,,0.09084036674392085,659.090355756671,1.5242821883528495,,,,0.53,51
0,birch,24,,0.08038654877313525,573.9379964941476,1.5481528850165878,,,,0.53,54
0,birch,21,,0.09565217940058986,627.9571686751605,1.4290975321298702,,,,0.43,50
0,birch,31,,0.0868198894724512,496.96916359113555,1.54813657737384,,,,0.43,50
0,birch,16,,0.09190809793873458,738.2705488800589,1.5082240416321981,,,,0.48,54
0,birch,31,,0.0812146996294212,499.29576742156826,1.5309408103804563,,,,0.48,50
0,dbscan,4,,0.18428743753722404,462.36864025410256,4.010459544946011,1.25,4,,,
0,dbscan,4,,0.18428743753722404,462.36864025410256,4.010459544946011,1.25,4,,,
0,dbscan,5,,0.5487237883350872,592.3008894196039,2.5943096302709505,3.25,5,,,
0,dbscan,13,,0.358364094329088,247.8873333773412,1.8230661947266082,2.5,4,,,
0,dbscan,63,,-0.0963421282879093,54.29925335952367,1.3401450287666807,1.75,2,,,
