locus_tag,LanzaTech,MeOH,NO3_lowO2_slow_growth,NoCu,NoLanthanum,WT_control,WithLanthanum,aa3_KO,crotonic_acid,highCu,highO2_slow_growth,lowCH4,lowCu,lowO2_fast_growth,lowO2_low_iron_fast_growth,lowO2_slow_growth,medCu,slow_growth,uMax,unknown
EQU24_RS00005,-0.5158079591300877,-0.012057953040071677,-0.48004826055406674,-0.16334862089033556,-0.6484470416393934,-0.03746926943270895,-0.4910131466271592,-0.4101170703551369,-0.4851233782045671,0.08520633261086377,0.06039686800651194,-0.18647038769107532,-0.13637728012434885,-0.20367852805630782,-0.4874351971383419,-0.24306870864577731,0.044173924351483845,-0.12224429924654565,0.18520778497129312,-0.6205224478582022
EQU24_RS00010,0.48056812427424966,-0.6590040298397407,-0.2186426415256723,0.07582125789555443,-0.4855707772131334,-0.1148206476847497,-0.462526316779567,0.09464067844657612,-0.2098699213308712,0.8731141396641378,0.5040247825900958,-0.3059314543219627,0.20439885396310692,-0.10367871969565683,-0.28381724960142657,0.062218508645991044,0.46126333028680755,0.10330274271244211,0.19181266679455375,-0.7980278752111858
EQU24_RS00015,-1.0726367612384213,0.3278161794460307,-0.4615334857542921,-0.21276392379137907,-0.5830166258544002,-0.6485299413775306,-0.6337922488510317,-0.9172240254078647,-0.048206237472606536,0.22023824244609028,0.13874680621867813,-0.38561459031883416,-0.10645261395239525,0.14284462196983816,-0.05725030464220183,-0.23579373789482508,0.034638075874968276,-0.6094063655241387,0.1587817310791047,-0.7538952743576312
EQU24_RS00020,0.7236175530124116,-1.0323902458326673,0.0721320261052164,-0.25322235264559445,-0.352283483214961,0.18348832458247383,-0.292973888690113,0.14454118880636685,0.16718451248857982,0.34615231007488534,-0.10821601264439906,-0.13230390968604744,-0.05179486707649917,-0.31192170526268564,0.06074789013290743,-0.07877100904317813,0.16932649099610975,0.274118361546745,0.19856560826948136,-0.5325968772338803
EQU24_RS00025,0.42426161668633783,-0.4793249979258463,0.02809810586390124,0.1165376457706952,-0.26165875423627194,0.08284731355309043,-0.4541022920380881,-0.051228998411383925,0.045574611318152936,0.26510358047031507,0.45011099566643537,0.011532894788050849,0.2407607156470038,-0.5738783519959426,0.7223458862825571,0.029248205289698646,0.31196678484978446,0.2686518354868419,0.18173149114316337,-0.011128207926742137
EQU24_RS00030,0.3892746915879444,-0.27358147564891894,0.2731914885775277,0.3683370406740975,0.2691191665208438,0.3117742976436102,0.38847110366499443,0.3185914270049491,0.27257604052485257,0.4097065788191323,0.6172734596703513,0.3588466188591186,0.14306468794470464,0.075209584606992,0.7384795893483036,0.2834676672111494,-0.033290664368344415,0.5624549461103895,0.1528164352447778,-1.4037841338470194
EQU24_RS00035,-0.7897792718680369,0.23787030590677097,-0.33239316968409727,0.011202032015373606,0.1506366120774112,0.01958952232089366,0.25776268411722936,-0.23863308840890562,-0.3298847618960677,0.45336024598988156,-0.0700788745504871,0.6573664856381534,-0.036484357289516336,0.3318578841636718,-0.07673037042736913,-0.19935383342092686,0.19634456970987976,-0.018344028233482874,0.20493637684116714,0.08561567651647103
EQU24_RS00040,0.8432762585618724,-0.05385592184957681,-0.14609241904154996,1.0079355199157476,0.3167597832593692,0.7545363023931211,0.3788241794340796,0.41659281221978045,0.622655518436006,2.12280629776656,0.46827048232932983,0.567883704943061,1.114794367841924,-0.16320504766230862,-0.43687716717260733,-0.40610384830194857,1.3526252111271326,1.0838005868972806,0.11566635097560586,-0.7130394954659509
EQU24_RS00045,0.9514320883441325,-0.25938028985101824,-0.07547870539604717,1.110329217635558,-0.0295335304632281,1.1988067645642297,0.0027195951721476004,0.8227066061813392,1.0918912736898678,2.4223754302815035,0.39571563295216894,0.15220149325779148,1.1845558474020161,-0.21953338501679967,-0.643776195995618,-0.6435337256694004,1.2960771828819153,0.9740609258829441,0.09306799381641928,0.33180789491348284
EQU24_RS00050,1.1364894211505463,0.27507022289247135,-0.15007091241322812,0.6774211797335902,-0.1675854767272532,0.9033131337014543,-0.11033988491904236,0.497257057244487,1.082612607450163,1.6128545821441544,0.17020070962542252,0.24386499393239736,0.7767522593836258,-0.06726000374939227,-0.012326519459815615,-0.7345048650481302,0.8566147112648829,0.5201194555551313,0.0903657233454664,0.33086843046325076
