locus_tag,cluster_id,LanzaTech,MeOH,NO3_lowO2_slow_growth,NoCu,NoLanthanum,WT_control,WithLanthanum,aa3_KO,crotonic_acid,highCu,highO2_slow_growth,lowCH4,lowCu,lowO2_fast_growth,lowO2_low_iron_fast_growth,lowO2_slow_growth,medCu,slow_growth,uMax,unknown
EQU24_RS00175,14,-1.4396290764326265,-0.8723259049548979,-0.10809989024897992,0.3704498188602732,0.08607345299923345,-0.5432602082970368,-0.0735967249423598,-0.4156526991818395,-0.4097770487704925,-0.9101142702684836,-0.3095184249288171,-1.5995357438027362,-0.3726782521011188,-1.1235588486423378,-2.1425475894793813,-0.3439049328237012,-0.8175644578226973,0.008500920161227814,-1.548777526888747,-0.8410338427800053
EQU24_RS01135,14,-0.3698356546593514,-0.8898309509482991,-0.8891741211432939,-1.8306683293467392,-1.724863627356369,-1.062057321530114,-1.4664266159618782,-0.8941979661674645,-1.0956956161039637,-1.7292153851826375,-0.7679427341397136,-1.4816974170497317,-1.0654129670438743,-1.4047892585979933,-2.5524679085795885,-1.754772500217222,-1.3616193655446198,-0.4912415046940641,0.023574542733356556,0.1585371557871043
EQU24_RS01150,14,-4.806704170257445,-2.2362061654995085,-2.090231662515841,-0.42985697287467706,-1.9849387011212332,-1.0691638874770335,-0.9238128787900396,-0.8893766510913104,-0.402263878649584,0.22089157390105035,-2.303944335006983,-3.3281983244140223,-0.7516205923416674,-3.598515200202903,1.1577575260833377,-1.0696574722745356,-1.298405428483738,-3.1016498907331504,-0.5299013856825624,-1.812856557508984
EQU24_RS01170,14,-1.490188677740816,-0.003096369295387776,-1.4414514606475333,-1.4659172813199552,-0.8901574136239601,-1.8306025769716168,-0.9263764687034449,-1.387882320217272,-1.3385637703415516,-2.492315858184669,-1.7961126087816093,-1.6251129945405287,-1.566524151164225,-1.2397994078043713,-1.4523856439150844,-1.2756335278689417,-1.4661291986270883,-2.8018432237547377,-0.15922574781248056,-1.0265214192554364
EQU24_RS01175,14,-4.038716355452805,-1.360611833950335,-2.5664164125213778,-3.0801313711242355,-1.9727399255472635,-3.0463315464524627,-1.7886735925631383,-1.8152989301773608,-2.381833184945379,-3.003436491044124,-3.4173576373203414,-3.035995110918375,-2.5771463299776767,-3.197494437103913,-3.1787969955628754,-0.3619960293125185,-2.525511301609628,-4.409412759094148,-0.3841065501314292,-1.4036648095364266
EQU24_RS01340,14,-0.5664879136774247,-0.1836353534821279,-1.9431288644826543,-1.7057503024490717,-1.2599789040383509,-2.980116430211288,-1.369945807792044,-2.223379586990329,-1.3012697166497826,-1.556961417431567,-2.2702095696232485,-2.091898219488308,-1.8321467695177356,-1.9585894877893244,-1.1743164582856578,-1.3661113570136698,-1.826069063605379,-2.7920202282537647,0.18198078366116224,-1.1598646616408286
EQU24_RS01345,14,-0.8121874683807055,0.014113558166985554,-1.778480301849587,-1.5080656217260855,-0.9114556106786216,-2.5763661224909877,-0.5638524464635238,-2.1476209636935484,-1.3157050351731192,-1.5928579864806398,-1.825287142916768,-1.750471338912002,-1.6838867485668114,-1.3816221129721211,-0.9328879581175348,-1.1330660157909918,-1.6687792631779668,-1.7754601132546115,0.14032124533431142,-0.1421247828360805
EQU24_RS01350,14,-1.486148901965662,0.3758448704000924,-1.2577410084880445,-0.7661065419512952,0.07802019109551367,-1.940874908365088,0.6214175790162212,-1.5774258590106829,-0.8797753291145861,-0.7232320463860845,-1.8855726054679895,-1.251746140279879,-0.8283899242036232,-0.555525589827093,-0.6643433976818719,-0.1973052231638233,-0.8838414770955211,-1.141486244260407,0.1354031090410219,0.07084558972064857
EQU24_RS01385,14,-2.7512985311848297,-0.5227461345752251,-2.559489997354401,-3.0418194775255927,-0.07998852773394981,-2.4318286249384995,0.09059912540105126,-1.5987380940821958,-1.6543726901194726,-3.5308570577788903,-2.734466979524377,-3.363088373635408,-2.99903820674265,-3.8939625553202784,-2.1399718708494526,-1.8804752271314362,-3.3127326847082275,-3.5375880518305802,0.08301422917945564,-1.5004855603320226
EQU24_RS01390,14,-1.4003130700257005,-0.9840146397483708,-0.7430271904497181,-1.0103475027037203,0.19709946529025493,-0.7344956745999801,0.31081599163225715,-0.6956297197776584,-0.5478106169742263,-1.6559708108176219,-1.0670854198094846,-1.867356092120236,-1.3282696041587094,-2.231184977967793,-1.0217485261135115,-1.2095633570526814,-0.9027818060893223,-1.6051611273773183,-0.2963398313976799,-0.7885772202035429
