locus_tag,cluster_id,LanzaTech,MeOH,NO3_lowO2_slow_growth,NoCu,NoLanthanum,WT_control,WithLanthanum,aa3_KO,crotonic_acid,highCu,highO2_slow_growth,lowCH4,lowCu,lowO2_fast_growth,lowO2_low_iron_fast_growth,lowO2_slow_growth,medCu,slow_growth,uMax,unknown
EQU24_RS00205,18,-4.180726454800373,-3.937014989235073,-3.1316111273018343,-4.424486316462093,0.21442244928103749,-1.7809941931302915,0.11451566373593845,-2.1533764641085678,-2.6055851268845878,-6.3524352187705375,-3.4172299076903303,-4.19073428040633,-4.425757963680144,-5.503016741987216,-5.480487333660419,-2.350599936142721,-4.272961897929783,-3.9896551857133176,-5.830223928193145,-3.609905108040641
EQU24_RS01215,18,-4.118323812005219,-3.5109444266055485,-2.74203507850371,-3.6024586193465735,0.7956214665209331,-2.4685522473343657,0.497648569925106,-2.3350838291601934,-3.275636578084134,-5.631896159926177,-3.9745053260148753,-4.556669885567255,-4.034903508217432,-5.821989069113681,-4.538493094473695,-2.3044890628864723,-4.6437036515627845,-3.278938454972145,-6.898238237638731,-3.168040675033357
EQU24_RS01305,18,-3.266100055438838,-3.11274422350583,-2.7217605993218874,-4.161669909644532,1.186685597998015,-2.029163360725568,0.9470174002083735,-2.1092001531201308,-2.0127887339886774,-5.733419001375768,-2.961417235807766,-4.199165814720638,-4.100773068616953,-5.241956019664762,-5.494214513211462,-2.358581638673094,-4.590326756955349,-3.346132747201636,-5.684152175667127,-2.7018144991220154
EQU24_RS01450,18,-4.073107617908476,-4.04549707291707,-4.333912579918584,-4.4768208942586645,2.2348229687335497,-4.02943429741529,1.804765161274898,-3.4330618430285176,-4.942519835819935,-6.203185074185388,-4.9278961966035135,-5.455188534148995,-4.576664759431538,-6.805237305571993,-5.343722502220613,-2.2710776863528057,-5.093724169614325,-3.8908719199245287,-8.100580328416449,-3.512802075046041
EQU24_RS05675,18,-4.105629925437697,-4.083965079967526,-2.7140929239272187,-4.508595347559622,1.082598346371873,-2.4228145449335927,0.9765738364834888,-2.1838799717060158,-2.927631714486246,-6.248288322289198,-3.499667146456233,-5.4997429195624665,-4.6097427990461535,-6.36726667195418,-5.385052700871015,-2.295109232667332,-5.131400351440298,-3.920724126485269,-7.183625705535836,-3.542146516895404
EQU24_RS06200,18,-4.153633876453021,-4.140745070884475,-1.7917554218470628,-4.555495442161685,1.9654135343437111,-1.8078523512960396,1.910074435186016,-2.0641766890965685,-2.0891601613786217,-6.3148621381435035,-2.5350043787480283,-5.565506596785702,-4.6585670281361855,-4.638483112473713,-5.44605737680568,-2.3305805525012206,-5.187011583367601,-3.964786924309616,-6.239659351618791,-3.5854598380010265
EQU24_RS06390,18,-3.632746350191335,-3.460737373832244,-1.7820375739497925,-3.6459246978799964,0.12879609502506698,-0.6273831711226886,-0.24889998401908814,-1.148125228438157,-1.5214873629541192,-5.771953206446249,-2.8148115727082668,-4.167839241663393,-3.7939773012575473,-4.831265929041044,-5.457722348866632,-2.3373631793816685,-4.0472014799555875,-2.601694777565751,-6.093279963794017,-3.5937419683922323
EQU24_RS06885,18,-4.083774821801792,-4.058114445599129,-1.8382199519141125,-4.487242804563013,1.4753314432240645,-2.3555369031859743,1.4569491052217456,-2.430550066026168,-2.7967751152468923,-6.2179787828833915,-2.7686074860941305,-5.4698022177912105,-4.587514241518356,-6.00423907600034,-5.357278663804749,-2.27895995006298,-5.106081826373403,-3.9006633399756017,-7.763167725137207,-3.52242695003566
EQU24_RS08850,18,-4.073107617908476,-4.04549707291707,-4.333912579918584,-4.4768208942586645,1.4608205796592981,-4.02943429741529,1.7802571967380132,-3.4330618430285176,-4.942519835819935,-6.203185074185388,-4.9278961966035135,-5.455188534148995,-4.576664759431538,-6.805237305571993,-5.343722502220613,-2.2710776863528057,-5.093724169614325,-3.8908719199245287,-8.100580328416449,-3.512802075046041
EQU24_RS09050,18,-3.5562146097722316,-3.4802193586604524,-2.801327766731144,-4.571284363152377,-0.09539877194589624,-1.8550893924840013,-0.4035981540001269,-2.0951221538901663,-1.997341369806376,-6.337274219131638,-3.515121180922639,-4.8004523735873,-4.273948148823251,-5.366380500189488,-5.4665946063479165,-2.3425219754566498,-4.532050314345959,-3.9796206690894578,-5.987420281679215,-3.6000412713773056
EQU24_RS11115,18,-4.073107617908476,-4.04549707291707,-4.333912579918584,-4.4768208942586645,3.5931888262867244,-4.02943429741529,3.2248029528658857,-3.4330618430285176,-4.942519835819935,-6.203185074185388,-4.9278961966035135,-5.455188534148995,-4.576664759431538,-6.805237305571993,-5.343722502220613,-2.2710776863528057,-5.093724169614325,-3.8908719199245287,-8.100580328416449,-3.512802075046041
EQU24_RS11910,18,-2.266413166593233,-3.4505076123242056,-0.3581594072476245,-2.3612198241825983,-0.20634812491795101,-1.3562951857214174,-0.7069276092795244,-1.2699040281375,-1.4484898306902363,-5.491400033077734,-2.2773230291003452,-3.8617555821825382,-2.5017211057352786,-2.497894703540714,-6.3271754075351625,-2.8429088125986115,-2.8495969812411475,-2.017394448643289,-2.1766581159499783,-1.9807499349280617
EQU24_RS12805,18,-4.088306966419618,-4.06347515289075,-3.3993760716668464,-4.491670731990454,1.4710573769934088,-3.87979577887191,1.5988921620476506,-2.988388715563274,-4.3955485141906605,-6.224264143876196,-4.2206254143583495,-5.476011092049927,-4.5921238301544935,-6.580759991245693,-5.3630382316705525,-2.282308865055853,-5.111332188898554,-3.9048233928000498,-7.631958689896067,-3.5265162433329222
EQU24_RS13045,18,-3.436934575094052,-4.0610336933683335,-1.8386332181924565,-3.909966792938463,0.5215597786070528,-2.2390540240342918,0.07455271582439768,-1.7132353204410065,-2.5655379105700367,-4.909811187614124,-2.840878135343715,-4.936962338415907,-3.4905908382341804,-5.101513751470011,-3.7786621932369013,-2.0855087352991424,-4.597925119687599,-3.2053775799528283,-6.278827075553664,-3.0792236326097826
EQU24_RS14960,18,-4.198914822144364,-4.1943042390505365,-0.963589441838266,-4.599735147262557,1.491219125600327,-1.0294015017384277,1.1945821233194678,-0.6872158322944424,-0.9200027370715924,-6.377659580362411,-1.6251772635485908,-5.6275398551701485,-4.704621721949646,-4.765680360452194,-5.503601586386126,-2.364039775607371,-5.239468289940042,-4.006350277181459,-5.589047418041688,-3.626316227927537
EQU24_RS16560,18,-3.5328936177522463,-3.5886258684884784,-2.673892285049825,-3.9219805010304176,0.9958340784244752,-2.6365815784966733,0.5480630468516828,-1.8007828361931546,-2.6922580081682064,-6.3049317265775855,-3.4541531830492067,-4.817694458232981,-4.231175967158005,-5.316523927396706,-5.436957679999919,-2.1405762624912947,-4.405628330750394,-3.9582143445118887,-6.360086406361378,-2.9902891853477653
EQU24_RS17185,18,-2.553741025263085,-2.5571909089618603,-1.6403822652325504,-2.981414321917601,-0.2596666794202379,-1.6116515935408886,-0.5816133722381633,-1.6450730851976592,-2.3818450296920477,-6.364684630866137,-2.7601640022298857,-3.36523467693556,-3.3826857474323515,-4.914209189461189,-4.629020708925599,-1.3499998001365727,-3.863069601121458,-2.8966787620878662,-5.710142238390668,-2.48111076430466
EQU24_RS17665,18,-2.4207738187620933,-3.2192486363683708,-1.6728809991640246,-2.1720915209987117,1.134665947587935,-1.947589870140361,1.7801368056662938,-1.701009712309007,-1.413807935629914,-3.173369115067008,-1.7995030552031512,-4.18203768874158,-2.700974217545717,-3.9937899839782,-5.6178206766738334,-1.046239533384044,-2.9101862213579763,-2.145159187494657,-4.659931967919787,-1.7416224922248882
EQU24_RS17670,18,-4.156984251130578,-4.144707958099723,-0.8931003388454414,-4.5587687745855,1.1232161840673809,-1.2799203060129294,1.0658077109381603,-1.094879517348604,-1.3366586306564137,-6.319508572907911,-1.862099763845256,-5.570096488955229,-4.661974653078187,-5.46031181057879,-5.450315120535957,-2.3330562281328584,-4.752952616163783,-3.967862231215203,-6.185233922466682,-3.588482836132717
EQU24_RS18390,18,-4.117859372290412,-4.098430303486207,-2.3338971422208465,-4.520543576865582,0.8577320328275193,-2.646348980735099,1.2286243090337872,-3.0153055629902283,-2.81840106239164,-6.265248612547656,-2.950855583552653,-5.516496819573404,-4.622181219262664,-5.5881864790953815,-5.400594201650231,-2.304145876767017,-5.145567822885552,-3.931949528411097,-6.908141219065462,-3.5531809827523224
EQU24_RS18395,18,-4.2003685192378715,-4.196023699761988,-1.861991148310727,-4.601155416423037,0.5960239640306351,-1.6717427118665822,-0.0657710435289726,-1.4998436745572998,-1.7068307692448368,-6.3796756261370655,-2.5369998833057883,-5.629531367627263,-4.70610025941208,-5.429281906195442,-5.505448982657076,-2.3651139487421813,-5.241152357282608,-4.007684624871064,-5.570758915332509,-3.627627879316009
EQU24_RS19655,18,-4.107752297256832,-3.8271591731549113,-3.2488279659290713,-4.3531902081229,-1.1196381423826534,-2.0459111028761754,-1.4665574317201853,-2.529126092380108,-2.9564452471943063,-6.2512317131491795,-3.5071302633769874,-5.294412305485849,-4.498527751948243,-5.980243046414608,-5.387749866464695,-2.296677506278372,-5.0059489739656415,-3.9226722503041778,-7.133658912997843,-3.5440615045196187
EQU24_RS20230,18,-4.154374646904315,-4.141621268335025,-1.8916093358106263,-4.5562191785106565,0.5624461634835413,-1.1709414983240471,0.5639060092956321,-1.631119861894294,-1.717927001097087,-6.315889468489687,-2.9880326814479385,-5.566521425520105,-4.659320456665547,-6.192216669649144,-5.446998767261409,-2.3311279263120332,-5.187869745175128,-3.9654668770622368,-6.227523774692067,-3.586128225242988
EQU24_RS20950,18,-2.0889742853295936,-2.9783444160414283,-0.1202470494996292,-4.377630444334737,2.435323106742085,-0.2780323755602028,2.1996183551031097,-0.34434205230631554,-0.22585829423750475,-5.912363362952632,-0.8833199159396572,-3.842397981749371,-3.1626169348959396,-4.069907158093232,-5.677615211861937,-2.4652204288956168,-4.400262991414347,-3.1618040135184904,-4.28986132646409,-3.7498659054155294
