locus_tag,cluster_id,LanzaTech,MeOH,NO3_lowO2_slow_growth,NoCu,NoLanthanum,WT_control,WithLanthanum,aa3_KO,crotonic_acid,highCu,highO2_slow_growth,lowCH4,lowCu,lowO2_fast_growth,lowO2_low_iron_fast_growth,lowO2_slow_growth,medCu,slow_growth,uMax,unknown
EQU24_RS00625,3,-4.073107617908476,-4.04549707291707,-4.333912579918584,-4.4768208942586645,-3.7498491204784714,-4.02943429741529,-2.8317575211344828,-3.4330618430285176,-4.942519835819935,-6.203185074185388,-4.9278961966035135,-5.455188534148995,-4.576664759431538,-6.805237305571993,-5.343722502220613,-2.2710776863528057,-5.093724169614325,-3.8908719199245287,-8.100580328416449,-3.512802075046041
EQU24_RS00630,3,-4.073107617908476,-4.04549707291707,-4.333912579918584,-4.4768208942586645,-3.8913206530083566,-4.02943429741529,-3.5106010787807738,-3.4330618430285176,-4.942519835819935,-6.203185074185388,-4.9278961966035135,-5.455188534148995,-4.576664759431538,-6.805237305571993,-5.343722502220613,-2.2710776863528057,-5.093724169614325,-3.8908719199245287,-8.100580328416449,-3.512802075046041
EQU24_RS00635,3,-4.073107617908476,-4.04549707291707,-4.333912579918584,-4.4768208942586645,-3.8913206530083566,-4.02943429741529,-3.5106010787807738,-3.4330618430285176,-4.942519835819935,-6.203185074185388,-4.9278961966035135,-5.455188534148995,-4.576664759431538,-6.805237305571993,-5.343722502220613,-2.2710776863528057,-5.093724169614325,-3.8908719199245287,-8.100580328416449,-3.512802075046041
EQU24_RS00640,3,-4.073107617908476,-4.04549707291707,-4.333912579918584,-4.4768208942586645,-3.0706565199641385,-4.02943429741529,-2.800556269407973,-3.4330618430285176,-4.942519835819935,-6.203185074185388,-4.9278961966035135,-5.455188534148995,-4.576664759431538,-6.805237305571993,-5.343722502220613,-2.2710776863528057,-5.093724169614325,-3.8908719199245287,-8.100580328416449,-3.512802075046041
EQU24_RS00645,3,-4.073107617908476,-4.04549707291707,-4.333912579918584,-4.4768208942586645,-3.8913206530083566,-4.02943429741529,-2.9719907009677784,-3.4330618430285176,-4.942519835819935,-6.203185074185388,-4.9278961966035135,-5.455188534148995,-4.576664759431538,-6.805237305571993,-5.343722502220613,-2.2710776863528057,-5.093724169614325,-3.8908719199245287,-8.100580328416449,-3.512802075046041
EQU24_RS01445,3,-4.073107617908476,-4.04549707291707,-4.333912579918584,-4.4768208942586645,-3.8913206530083566,-4.02943429741529,-3.068908073998413,-3.4330618430285176,-4.942519835819935,-6.203185074185388,-4.9278961966035135,-5.455188534148995,-4.576664759431538,-6.805237305571993,-5.343722502220613,-2.2710776863528057,-5.093724169614325,-3.8908719199245287,-8.100580328416449,-3.512802075046041
EQU24_RS02735,3,-4.073107617908476,-4.04549707291707,-4.333912579918584,-4.4768208942586645,-3.8913206530083566,-4.02943429741529,-3.5106010787807738,-3.4330618430285176,-4.942519835819935,-6.203185074185388,-4.9278961966035135,-5.455188534148995,-4.576664759431538,-6.805237305571993,-5.343722502220613,-2.2710776863528057,-5.093724169614325,-3.8908719199245287,-8.100580328416449,-3.512802075046041
EQU24_RS02740,3,-4.073107617908476,-4.04549707291707,-4.333912579918584,-4.4768208942586645,-3.8913206530083566,-4.02943429741529,-3.5106010787807738,-3.4330618430285176,-4.942519835819935,-6.203185074185388,-4.9278961966035135,-5.455188534148995,-4.576664759431538,-6.805237305571993,-5.343722502220613,-2.2710776863528057,-5.093724169614325,-3.8908719199245287,-8.100580328416449,-3.512802075046041
EQU24_RS02745,3,-4.073107617908476,-4.04549707291707,-4.333912579918584,-4.4768208942586645,-3.8913206530083566,-4.02943429741529,-3.5106010787807738,-3.4330618430285176,-4.942519835819935,-6.203185074185388,-4.9278961966035135,-5.455188534148995,-4.576664759431538,-6.805237305571993,-5.343722502220613,-2.2710776863528057,-5.093724169614325,-3.8908719199245287,-8.100580328416449,-3.512802075046041
EQU24_RS02750,3,-4.073107617908476,-4.04549707291707,-4.333912579918584,-4.4768208942586645,-3.8913206530083566,-4.02943429741529,-3.5106010787807738,-3.4330618430285176,-4.942519835819935,-6.203185074185388,-4.9278961966035135,-5.455188534148995,-4.576664759431538,-6.805237305571993,-5.343722502220613,-2.2710776863528057,-5.093724169614325,-3.8908719199245287,-8.100580328416449,-3.512802075046041
EQU24_RS02755,3,-4.073107617908476,-4.04549707291707,-4.333912579918584,-4.4768208942586645,-3.8913206530083566,-4.02943429741529,-3.5106010787807738,-3.4330618430285176,-4.942519835819935,-6.203185074185388,-4.9278961966035135,-5.455188534148995,-4.576664759431538,-6.805237305571993,-5.343722502220613,-2.2710776863528057,-5.093724169614325,-3.8908719199245287,-8.100580328416449,-3.512802075046041
EQU24_RS03465,3,-4.073107617908476,-4.04549707291707,-4.333912579918584,-4.4768208942586645,-2.21865630051141,-4.02943429741529,-2.282981308401601,-3.4330618430285176,-4.942519835819935,-6.203185074185388,-4.9278961966035135,-5.455188534148995,-4.576664759431538,-6.805237305571993,-5.343722502220613,-2.2710776863528057,-5.093724169614325,-3.8908719199245287,-8.100580328416449,-3.512802075046041
EQU24_RS03550,3,-4.073107617908476,-4.04549707291707,-4.333912579918584,-4.4768208942586645,-2.8205403206493376,-4.02943429741529,-2.7101386635813527,-3.4330618430285176,-4.942519835819935,-6.203185074185388,-4.9278961966035135,-5.455188534148995,-4.576664759431538,-6.805237305571993,-5.343722502220613,-2.2710776863528057,-5.093724169614325,-3.8908719199245287,-8.100580328416449,-3.512802075046041
EQU24_RS04130,3,-4.073107617908476,-4.04549707291707,-4.333912579918584,-4.4768208942586645,-2.1368696340013456,-4.02943429741529,-1.726390086197814,-3.4330618430285176,-4.942519835819935,-6.203185074185388,-4.9278961966035135,-5.455188534148995,-4.576664759431538,-6.805237305571993,-5.343722502220613,-2.2710776863528057,-5.093724169614325,-3.8908719199245287,-8.100580328416449,-3.512802075046041
EQU24_RS04230,3,-4.073107617908476,-4.04549707291707,-4.333912579918584,-4.4768208942586645,-3.8913206530083566,-4.02943429741529,-3.0095938648431093,-3.4330618430285176,-4.942519835819935,-6.203185074185388,-4.9278961966035135,-5.455188534148995,-4.576664759431538,-6.805237305571993,-5.343722502220613,-2.2710776863528057,-5.093724169614325,-3.8908719199245287,-8.100580328416449,-3.512802075046041
EQU24_RS05785,3,-4.073107617908476,-4.04549707291707,-4.333912579918584,-4.4768208942586645,-2.546888554250065,-4.02943429741529,-2.009325383316749,-3.4330618430285176,-4.942519835819935,-6.203185074185388,-4.9278961966035135,-5.455188534148995,-4.576664759431538,-6.805237305571993,-5.343722502220613,-2.2710776863528057,-5.093724169614325,-3.8908719199245287,-8.100580328416449,-3.512802075046041
