locus_tag,cluster_id,uMax,MeOH,NoCu,lowCu,medCu,highCu,LanzaTech,lowCH4,lowO2_fast_growth,aa3_KO,NO3_lowO2_slow_growth,highO2_slow_growth,lowO2_slow_growth,lowO2_fast_growth,lowO2_low_iron_fast_growth,WithLanthanum,NoLanthanum,crotonic_acid,slow_growth,unknown
EQU24_RS18840,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,-2.4816340112418893,-3.1267726101667215,-4.942519835819935,-3.8908719199245287,-3.512802075046041
EQU24_RS18845,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,-3.5106010787807738,-3.8913206530083566,-4.942519835819935,-3.8908719199245287,-3.512802075046041
EQU24_RS18850,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,-3.5106010787807738,-3.8913206530083566,-4.942519835819935,-3.8908719199245287,-3.512802075046041
EQU24_RS18855,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,-2.677048244680975,-2.4100701122837873,-4.942519835819935,-3.8908719199245287,-3.512802075046041
EQU24_RS19045,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,0.13538373330809295,-0.10320892941403577,-4.942519835819935,-3.8908719199245287,-3.512802075046041
EQU24_RS20615,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,-2.5286015766241348,-2.644849116426259,-4.942519835819935,-3.8908719199245287,-3.512802075046041
EQU24_RS21585,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,-3.5106010787807738,-3.8913206530083566,-4.942519835819935,-3.8908719199245287,-3.512802075046041
EQU24_RS21590,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,-3.5106010787807738,-3.8913206530083566,-4.942519835819935,-3.8908719199245287,-3.512802075046041
EQU24_RS21600,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,-3.5106010787807738,-3.8913206530083566,-4.942519835819935,-3.8908719199245287,-3.512802075046041
EQU24_RS21605,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,-3.5106010787807738,-3.8913206530083566,-4.942519835819935,-3.8908719199245287,-3.512802075046041
EQU24_RS21615,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,-3.462249904393012,-3.790105562695964,-4.942519835819935,-3.8908719199245287,-3.512802075046041
EQU24_RS21620,3,-8.100580328416449,-4.04549707291707,-4.4768208942586645,-4.576664759431538,-5.093724169614325,-6.203185074185388,-4.073107617908476,-5.455188534148995,-6.805237305571993,-3.4330618430285176,-4.333912579918584,-4.9278961966035135,-2.2710776863528057,-6.805237305571993,-5.343722502220613,-3.2418055588461967,-3.472194861135074,-4.942519835819935,-3.8908719199245287,-3.512802075046041
