locus_tag,cluster_id,uMax,MeOH,NoCu,lowCu,medCu,highCu,LanzaTech,lowCH4,lowO2_fast_growth,aa3_KO,NO3_lowO2_slow_growth,highO2_slow_growth,lowO2_slow_growth,lowO2_fast_growth,lowO2_low_iron_fast_growth,WithLanthanum,NoLanthanum,crotonic_acid,slow_growth,unknown
EQU24_RS00175,2,-1.548777526888747,-0.8723259049548979,0.3704498188602732,-0.3726782521011188,-0.8175644578226973,-0.9101142702684836,-1.4396290764326265,-1.5995357438027362,-1.1235588486423378,-0.4156526991818395,-0.10809989024897992,-0.3095184249288171,-0.3439049328237012,-1.1235588486423378,-2.1425475894793813,-0.0735967249423598,0.08607345299923345,-0.4097770487704925,0.008500920161227814,-0.8410338427800053
EQU24_RS01150,2,-0.5299013856825624,-2.2362061654995085,-0.42985697287467706,-0.7516205923416674,-1.298405428483738,0.22089157390105035,-4.806704170257445,-3.3281983244140223,-3.598515200202903,-0.8893766510913104,-2.090231662515841,-2.303944335006983,-1.0696574722745356,-3.598515200202903,1.1577575260833377,-0.9238128787900396,-1.9849387011212332,-0.402263878649584,-3.1016498907331504,-1.812856557508984
EQU24_RS01175,2,-0.3841065501314292,-1.360611833950335,-3.0801313711242355,-2.5771463299776767,-2.525511301609628,-3.003436491044124,-4.038716355452805,-3.035995110918375,-3.197494437103913,-1.8152989301773608,-2.5664164125213778,-3.4173576373203414,-0.3619960293125185,-3.197494437103913,-3.1787969955628754,-1.7886735925631383,-1.9727399255472635,-2.381833184945379,-4.409412759094148,-1.4036648095364266
EQU24_RS01385,2,0.08301422917945564,-0.5227461345752251,-3.0418194775255927,-2.99903820674265,-3.3127326847082275,-3.5308570577788903,-2.7512985311848297,-3.363088373635408,-3.8939625553202784,-1.5987380940821958,-2.559489997354401,-2.734466979524377,-1.8804752271314362,-3.8939625553202784,-2.1399718708494526,0.09059912540105126,-0.07998852773394981,-1.6543726901194726,-3.5375880518305802,-1.5004855603320226
EQU24_RS01390,2,-0.2963398313976799,-0.9840146397483708,-1.0103475027037203,-1.3282696041587094,-0.9027818060893223,-1.6559708108176219,-1.4003130700257005,-1.867356092120236,-2.231184977967793,-0.6956297197776584,-0.7430271904497181,-1.0670854198094846,-1.2095633570526814,-2.231184977967793,-1.0217485261135115,0.31081599163225715,0.19709946529025493,-0.5478106169742263,-1.6051611273773183,-0.7885772202035429
EQU24_RS04225,2,-1.6609063358522322,-1.079805265615409,-0.553623519783532,-1.076502191166482,-0.8624113173420598,-1.0377015995654642,-1.1113447958357472,-1.6528409694627313,-1.7678478601544203,0.02210541670490044,0.09240023810599576,0.07539999681073753,-0.7567473015957763,-1.7678478601544203,-1.7158138789685755,1.1976332298877232,1.4528395613906562,-0.389742214958449,-0.9594634100335596,-1.543264157587412
EQU24_RS07995,2,-4.131108385789826,-2.0493841541719804,-0.9936596470756868,-1.372960137097741,-2.0984264765116847,-1.4965471569929931,-1.2602952043920426,-3.966250939130588,-2.2431870322511824,-0.5922926594069329,-1.7252023098275049,-1.940077743174488,-1.2034597391116446,-2.2431870322511824,-4.648297952523727,-0.5034217865761619,-0.3931235144006338,-0.39952575782499217,-1.607469964763655,-2.584042684450204
EQU24_RS08030,2,-2.785133623301719,-1.3925247341124931,-1.3252907344907214,-1.2433061469788382,-2.3074369140583264,-1.8840786571378507,-1.5472676183630405,-1.7698480964535341,-2.012088122220665,-0.2911167669695048,-0.8788132089751705,-0.8219020330596709,-0.5883025375225679,-2.012088122220665,-3.065953578178774,1.0045587116726469,0.7062098730768779,-0.25300648415394755,-0.8825442937100731,-2.129884088616506
EQU24_RS08830,2,-2.5246414105163093,-1.313787982303458,-1.3411165718450555,-2.189230689968553,-1.910885998914955,-1.7018767643640793,-2.0231792996505997,-2.386550264076806,-2.7760956012210016,-1.0553655049962063,-1.0483400356663926,-1.1139342656977016,-1.087186381532592,-2.7760956012210016,-1.949697306335864,1.112624038020529,0.9364801026047044,-0.94556745372255,-1.4874197106061051,-1.8315364496008424
EQU24_RS09570,2,-1.0921222769653405,-1.1127090621910685,-1.1412860232362363,-0.8896465265743965,-0.8316758724961174,-2.0844334565770795,-2.427811983381249,-1.0094553094651824,-1.9273452072901318,-0.9384120093320562,-1.3857854733886583,-0.9174187204986493,-2.358139431975655,-1.9273452072901318,-0.6366224737774405,0.4123688823358604,0.5383945370717215,-1.067341830748014,-1.8094528615788987,-1.0250319749879675
EQU24_RS10680,2,-1.5575241675507092,-0.4376509285697356,-2.1909463625953305,-1.229960496334957,-1.912546350226089,-2.4807210906982227,-0.9770162957913258,-1.954484930924472,-1.0574460758349709,-1.4228938733255545,-1.029788172943098,-1.5593881993018968,-1.0336747577581105,-1.0574460758349709,-2.313090249844615,2.055999522537881,1.5491173423036297,-0.8085654139662916,-1.3233902443492909,-1.171347472295072
EQU24_RS11910,2,-2.1766581159499783,-3.4505076123242056,-2.3612198241825983,-2.5017211057352786,-2.8495969812411475,-5.491400033077734,-2.266413166593233,-3.8617555821825382,-2.497894703540714,-1.2699040281375,-0.3581594072476245,-2.2773230291003452,-2.8429088125986115,-2.497894703540714,-6.3271754075351625,-0.7069276092795244,-0.20634812491795101,-1.4484898306902363,-2.017394448643289,-1.9807499349280617
EQU24_RS11915,2,-2.353408304299724,-2.612229776273047,-3.8440808230239285,-2.4040046572724822,-3.4869580104054294,-5.716904049008296,-2.260620997332921,-3.920860452775912,-1.9155659578830877,1.0781116734069671,1.345762835428174,0.34387943602148896,-1.4137988422630543,-1.9155659578830877,-4.967120112985486,2.360125795998829,2.461467126549544,1.9366865679919087,-3.007563971262354,-1.6039648318060873
EQU24_RS12085,2,-2.1614138955488467,-1.8837916123247107,-1.9016658571679763,-1.1876118969862572,-1.3439803042214524,-1.5462875829852036,-1.6740064066264813,-3.2685714365435548,-2.2494148596413464,-0.4163533164284442,-1.4275780420779198,-1.5929635236160868,-1.6842080098831325,-2.2494148596413464,-1.9741578857811464,-0.5955653970615036,-0.7595417036979254,-1.0169820098823381,-1.5166407260646335,-2.5829464523933665
EQU24_RS17360,2,-2.7744391152414605,-0.35667028934585293,-1.5967829461861405,-1.9118035878837505,-1.4408092104804502,-2.5367741861588606,-2.0401155068974908,-1.6418908472387377,-2.793258453496098,0.20696355162687166,0.2624299994916279,-0.04426526034644531,-1.3744147927820398,-2.793258453496098,-1.2804416806151822,1.6984336448623525,1.9613673994899308,-0.2899106000432588,-0.849497047971028,-1.9796824902645531
EQU24_RS17465,2,0.17829972959205193,-2.935072541277706,-1.5842015834570575,-1.708911980972586,-2.0348732966852983,-2.4333252556107685,-2.121348437136449,-2.9061287633190727,-3.6181471057657717,-0.1158469812330014,-1.1146805661424288,-1.0875271832620437,-0.8382634079018461,-3.6181471057657717,-2.4336534102229592,0.0674013176396337,-0.562573988242594,1.2036983858433552,-0.42403825457985417,-1.2851972686752742
EQU24_RS17665,2,-4.659931967919787,-3.2192486363683708,-2.1720915209987117,-2.700974217545717,-2.9101862213579763,-3.173369115067008,-2.4207738187620933,-4.18203768874158,-3.9937899839782,-1.701009712309007,-1.6728809991640246,-1.7995030552031512,-1.046239533384044,-3.9937899839782,-5.6178206766738334,1.7801368056662938,1.134665947587935,-1.413807935629914,-2.145159187494657,-1.7416224922248882
EQU24_RS17700,2,-1.1017968579910928,-0.3616483358931167,-0.5939781075091268,-0.6814254173846984,-0.7931474016830484,-1.3265849487701564,0.028038877633362918,-0.7201326907514475,-0.7284974105908527,-2.6680953500887834,-2.7072634806605143,-1.5293547783218298,-1.092139577868679,-0.7284974105908527,-0.8107492307773645,1.31269305399483,1.8198530661143661,-2.975331750831986,-0.33019875143136457,-0.14890442738034465
EQU24_RS18585,2,-0.9782829454819828,-0.7679373122578633,-0.9882493032551344,-0.6967459465938844,-0.7643915494789091,-0.982033259162414,-2.5921132569681813,-1.4391160187424759,-2.0922056718769992,-0.8349014184600079,-1.615830953243656,-0.3595493091928002,-1.5118290134005314,-2.0922056718769992,-0.5216645127041077,-0.28091403700918444,-0.2342096304253729,-1.2215924082998595,-1.864629531012884,-1.3885306031929827
EQU24_RS19880,2,0.1320351097768003,-0.6080200077612377,-2.477503995912924,-1.9826237443640369,-2.784494768440231,-2.8663796579912977,-2.7845885526699936,-2.0706654922402614,-2.5488103214657807,-2.2297834592747234,-1.8966398363546344,-1.0494146908094553,-1.0704847065128782,-2.5488103214657807,-1.7816712246857116,-0.6005583715081241,-0.8852586371003678,-1.5819106787713524,-1.9192283978194744,-0.9351391313718388
EQU24_RS19890,2,0.06123885049529172,-0.13496909430416734,-1.8924428874913617,-1.8571668929206888,-2.033728029215875,-2.335848939616408,-1.7135255736019637,-2.080956625455209,-2.4889607398138778,-1.2386475530506162,-1.232189149979804,-0.4703511392472083,-1.4830443646226754,-2.4889607398138778,-1.6673892354890771,1.309174089161435,1.0877974553403638,-0.7425797068837111,-2.023187792745268,-0.3605597037775139
EQU24_RS20235,2,-1.3388339193382441,0.4332044614165428,-0.5601149875471129,-1.1483821758307564,-0.8149106542367159,-1.3095346503886371,-1.5394857047756032,-1.6834550167574085,-1.1601431378611082,-0.7460346583161936,-0.8162407165568775,-0.6129263620424125,-0.5306896760981531,-1.1601431378611082,-0.7610118140909345,1.1514253221102757,1.0615321900543513,-0.6178706452006841,-1.3894332376374765,-1.4230147982318022
EQU24_RS20320,2,0.029726449722565426,-0.8083095052916524,-0.9921186688972776,-0.782175047890314,-1.1640908523084488,-2.6084821396257283,-0.7100363187070257,-1.0678428462089322,-1.7300790870562277,-1.1762526024623965,-0.9686949139071764,-0.35835280970272665,-1.39413004565139,-1.7300790870562277,-0.8578979040469392,-0.4400998166539147,0.0004061148824126773,-0.3789798031084174,-1.071854713440764,-0.43390867604704864
EQU24_RS20510,2,-0.3908395232114176,0.6743344542743926,-1.108603293546708,-1.2143311999798188,-1.1856311313833097,-2.082999161702142,-0.14337006065614066,-0.8573254209944252,-0.5370618068145929,-2.9950128532016063,-1.8134863602866704,-1.5614180023078394,-1.1747073594389834,-0.5370618068145929,-1.4627740824246096,1.0152854119597046,1.5446235419407384,-2.455724113702331,-2.074689461767281,0.9221978167203084
EQU24_RS20610,2,-1.5807326422355503,-0.19066009062560446,-1.2519820103870962,-1.1535554486597892,-1.3253404910465996,-2.4412905005361143,-1.4967207966352578,-6.082564720120518,-1.1672298820319025,-1.603029439244673,-1.2040233479552978,-1.4889218621748859,-1.6608672199191623,-1.1672298820319025,-6.705714882596091,-1.6323800394585504,-0.7769146087579881,-0.7135401386264678,-1.9755338566534868,1.1834940547581094
EQU24_RS20900,2,0.2070908331039134,-1.7431158405820182,-0.6601470308337469,-0.8548507069518917,-0.99623963853629,-0.5862580486839554,-3.1557628319064506,-2.8652059822795004,-3.1428687630722885,-0.5819078566646889,-1.6686366593513022,-1.671070063517477,-1.4397444563144723,-3.1428687630722885,1.9215722281018424,-2.1083859837135592,-1.880066425061769,-1.022183687939315,-2.148128139537969,0.7624534831211571
EQU24_RS20905,2,-3.734932467169739,-2.301012684413261,-1.50274513034916,-2.20876005685778,-2.1566029868468606,-2.8568714097840564,-1.5557482631591493,-4.114355660233487,-2.5553967652151566,-0.4166682118244641,-0.18369518267747253,-0.5740597883764557,-1.2931744133725205,-2.5553967652151566,-2.7884437422289055,1.6620565689440072,1.7144546488767265,-0.3766158055754123,-0.7848182619648921,-2.317264314492398
EQU24_RS20950,2,-4.28986132646409,-2.9783444160414283,-4.377630444334737,-3.1626169348959396,-4.400262991414347,-5.912363362952632,-2.0889742853295936,-3.842397981749371,-4.069907158093232,-0.34434205230631554,-0.1202470494996292,-0.8833199159396572,-2.4652204288956168,-4.069907158093232,-5.677615211861937,2.1996183551031097,2.435323106742085,-0.22585829423750475,-3.1618040135184904,-3.7498659054155294
EQU24_RS20980,2,-1.1723834202135728,-0.7798150190033386,-0.4582867170197728,-0.9302291803479824,-0.90080189889367,-1.347411436466953,-2.125350769443379,-0.5584503874497196,-0.9262248900784606,-0.6640419874838344,-0.6033926404818477,-1.486083613487787,-0.2901743797709682,-0.9262248900784606,-1.3809982159527414,-0.010014893468361137,-0.060281174099416315,-0.42542151277719137,-1.1965941384278385,-1.923985571456648
