locus_tag,cluster_id,uMax,MeOH,NoCu,lowCu,medCu,highCu,LanzaTech,lowCH4,lowO2_fast_growth,aa3_KO,NO3_lowO2_slow_growth,highO2_slow_growth,lowO2_slow_growth,lowO2_fast_growth,lowO2_low_iron_fast_growth,WithLanthanum,NoLanthanum,crotonic_acid,slow_growth,unknown
EQU24_RS02780,22,0.2259495881085149,1.292442501871395,-0.44366927156471936,-0.19282715137242226,0.8774161632184909,0.2576855786127959,-3.631457486317556,-1.1516421214635757,0.8287100544104181,-1.867873651552092,-2.1866641003024903,-1.738324105502769,-0.7869132406706818,0.8287100544104181,0.7275616078440114,-2.4555381066891,-2.6941848340772987,-2.856791243812378,-2.338730994435845,-0.0662832742634968
EQU24_RS03580,22,0.19579573858262347,0.7713736249644874,-1.3857235157700298,-1.3430761361393104,-0.5962657675039399,0.043257044979005135,-3.1272188289274765,-2.0721093618975197,0.8550357732290749,-1.2995802952180815,-2.4875655954563207,-2.5598684509103475,-1.5010575089260447,0.8550357732290749,-0.3996635188273454,-1.6434349874038203,-1.700327268830254,-1.781530111404863,-1.70704963826591,-1.389411422693288
EQU24_RS03770,22,0.23386244305351603,-0.6211277842668183,-0.4314556185146508,-0.2303310745955636,0.5171225933221039,0.3471187922729913,-3.9760266418506096,-1.1398763666878569,0.4102436446628772,-1.3014240283234884,-1.2616098808509286,-1.002608861882861,-0.6109669746630952,0.4102436446628772,-1.4978988058655045,-3.6674964747770558,-4.064346806608068,-1.5838878636374294,-1.1802772748979384,-0.0752136570974306
EQU24_RS05635,22,0.23431034806037934,1.4578665060158051,-0.3953684048372994,0.002804445258214059,1.0150529736425071,0.5050473129008729,-4.285113019985562,-4.977679173279152,1.8348153894512984,-2.2173878924851578,-1.4706131601329686,-2.2391987347506856,-1.6485483660687066,1.8348153894512984,-3.8786465469460993,-3.905637914845537,-4.5820858035572165,-2.295129220325013,-2.3627289989782585,0.4234553959991606
EQU24_RS05640,22,0.23406666605369714,2.0371485101942386,-1.0765349932632948,-0.392393394334028,0.5285573310611458,-0.9181091485174732,-5.1812997066119735,-1.7458466664103518,1.4891110904215732,-2.2296495823495066,-1.2532671906804695,-1.7704895647613328,-1.9419378196570136,1.4891110904215732,-1.808460183137999,-4.036671224518872,-4.517654952110767,-2.3468953437113056,-3.0392222205659576,0.9883691173271446
EQU24_RS05645,22,0.2341155338062981,3.2604005011001522,-1.7086399089918003,-0.5861308235888895,0.30775034005190066,-0.6530555232382289,-4.841118439984452,-1.2062324749285334,0.7333978670643959,-2.9795509743885304,-3.2758794717787367,-3.000082186968589,-1.7557553599532558,0.7333978670643959,-0.8807488992908288,-4.5277271075745285,-4.639727428398113,-3.443905805596933,-2.5941763277566365,0.12028055508699835
EQU24_RS07965,22,0.23008323346681275,1.4104466604127028,-1.5043268267366254,-1.1624365058247967,-0.2476860969589439,-0.8831594422006038,-3.749022513297109,0.027119481837000387,-0.40420202283402096,-2.8585072603021544,-2.04988408081877,-1.9099976154292988,-1.5233768346675838,-0.40420202283402096,1.2726999824807936,-3.5571924186893034,-4.0362625715224665,-2.253569352274001,-2.4671044353195213,1.196817814667518
EQU24_RS09835,22,0.22322952362225731,-0.6778513854694255,-2.931533757266593,-2.343386430740856,-1.7832551145293685,-1.4271845956580131,-3.844517973603375,-1.9921855156135428,1.5725380484110054,-1.6926150592521352,-0.8220539828370523,-1.5172018374523584,-2.0883233716152065,1.5725380484110054,-1.8807083837750964,-3.3166170425763815,-3.7830074794392567,-0.598267439842574,-1.8596442734146112,-1.0611532294307142
EQU24_RS18555,22,0.23226545755327785,1.109427081735277,-0.3997120205029152,-0.3353910551659734,-0.10964535648992804,0.5840693480910477,-4.29665861247928,-2.6155256771806203,1.984945742706504,-0.7813478131816403,-0.14897187554023675,-1.6673331416310604,-1.2156010830311703,1.984945742706504,-2.772055795612124,-3.6680785611926248,-4.089212586461284,-1.3303309037933924,-0.6632555217657861,-0.2402605271128177
EQU24_RS20650,22,0.2317507206181055,0.703914312165813,-0.4590605573500868,-0.5410852865231071,0.09669738365038907,0.16694534370610334,-4.233422366459107,-2.544714096487109,0.42213874168734816,-2.0534211756596563,-1.2153957716152284,-1.7063184991323477,-1.719815146639299,0.42213874168734816,0.1098151148353377,-2.119780034657095,-2.71376446498616,-2.6632977362825643,-2.5925000122711266,-0.2887866332835735
